layer;mean_L1;sd_L1;corr_beauty_VS_metric;pvalue;
input_6;16065550.238210399;630285.6194633031;-0.13357746362573306;-0.13357746362573306;
block1_conv1;62668304.86577993;2814730.719209626;0.3650491143221317;0.3650491143221317;
block1_conv2;377126349.54292625;11866462.859137109;0.34321693030824746;0.34321693030824746;
block1_pool;110909308.41112454;5313483.275620185;0.3361361420954285;0.3361361420954285;
block2_conv1;284436488.2998791;13934450.084608616;0.3622207450609049;0.3622207450609049;
block2_conv2;269747302.4425635;18770795.52281624;0.3514472801318142;0.3514472801318142;
block2_pool;101031422.1426844;9540980.84085415;0.3134974387223684;0.3134974387223684;
block3_conv1;181485627.95646918;11942582.730632989;0.38814507253415936;0.38814507253415936;
block3_conv2;193504849.4510278;15389109.938725946;0.36068550171147046;0.36068550171147046;
block3_conv3;107307598.81983072;11006217.87573124;0.38068124324286856;0.38068124324286856;
block3_pool;45447920.36517533;5228150.337100423;0.3655306062373042;0.3655306062373042;
block4_conv1;56483435.39540508;4246136.003122445;0.3492762702427003;0.3492762702427003;
block4_conv2;30582216.60943168;2504129.7491012956;0.3576148664632426;0.3576148664632426;
block4_conv3;7482288.759371221;656671.5515963302;0.3110035814726673;0.3110035814726673;
block4_pool;3710240.8349455865;353092.25400864915;0.3207137590958015;0.3207137590958015;
block5_conv1;2188091.1053506653;164400.78618652726;0.31230354699780005;0.31230354699780005;
block5_conv2;916721.2149334946;92063.86599012259;0.17998820018399703;0.17998820018399703;
block5_conv3;45245.36955392231;9410.291418665356;0.13495747785503656;0.13495747785503656;
block5_pool;22627.667932143668;4683.730921577276;0.17165913574385158;0.17165913574385158;
flatten;22627.667932143668;4683.730921577276;0.17165913574385158;0.17165913574385158;
fc1;5819.363512696494;633.0684368050046;-0.0037308470851692395;-0.0037308470851692395;
fc2;1599.5955088752646;116.57446004577704;0.08879802537328585;0.08879802537328585;

##############
bdd_is: CFD
weights are: imagenet
metric_is: L1
time : 1700.8715293208759 minutes
