layer;mean_gini_channel;sd_gini_channel;corr_beauty_VS_metric;pvalue;
input_8;0.1608487888857959;0.03768447957604873;0.2746545850422667;0.2746545850422667;
block1_conv1;0.8000343983051292;0.008307896826514888;-0.17744549346889155;-0.17744549346889155;
block1_conv2;0.7038124230046715;0.008568183909984008;-0.27498504662120127;-0.27498504662120127;
block1_pool;0.659609363340772;0.01511201899529188;-0.20659427447111514;-0.20659427447111514;
block2_conv1;0.5254776892635674;0.005013652024774769;0.11037429315884172;0.11037429315884172;
block2_conv2;0.7801776040203198;0.005183012800081027;-0.12012976652207279;-0.12012976652207279;
block2_pool;0.7131957100003015;0.013055507896466574;-0.12021678484346596;-0.12021678484346596;
block3_conv1;0.6605059154452728;0.006633913307955843;0.16694316120031832;0.16694316120031832;
block3_conv2;0.7003929141138902;0.0031683919687220587;0.019615202497562677;0.019615202497562677;
block3_conv3;0.8917693629514261;0.006339676629145137;-0.2684795693938011;-0.2684795693938011;
block3_pool;0.8378297475768065;0.011658414927790206;-0.2521598658263998;-0.2521598658263998;
block4_conv1;0.7932452575833624;0.001989368746938573;0.29629977593157303;0.29629977593157303;
block4_conv2;0.8489132597435066;0.002488934134209919;-0.17671957714566883;-0.17671957714566883;
block4_conv3;0.9519100303396809;0.002282726275111105;-0.17323927340645134;-0.17323927340645134;
block4_pool;0.914636577146096;0.004982082313651318;-0.2163977003985543;-0.2163977003985543;
block5_conv1;0.8785133975066642;0.0015756177594461534;-0.13507603845197858;-0.13507603845197858;
block5_conv2;0.9154585927250098;0.0032687867143448793;-0.06519543747640437;-0.06519543747640437;
block5_conv3;0.9879541521514805;0.002369823314599832;-0.16900449396220973;-0.16900449396220973;
block5_pool;0.9779767861712354;0.004330968248942136;-0.19732291102157778;-0.19732291102157778;
flatten;0.9801496953742698;0.004130394246053179;-0.1988886748954704;-0.1988886748954704;
fc1;0.8256855549431339;0.010817590420277353;0.08737681198597286;0.08737681198597286;
fc2;0.8317822223366982;0.01652897867172127;0.03358766559033186;0.03358766559033186;

##############
bdd_is: CFD
weights are: imagenet
metric_is: gini_channel
time : 2733.452911257744 minutes
