layer;mean_gini_filter;sd_gini_filter;corr_beauty_VS_metric;pvalue;
input_9;0.1992111426656448;0.04989836447018005;0.30952039657785646;0.30952039657785646;
block1_conv1;0.6926551491373877;0.0107434694862412;0.23905761648415894;0.23905761648415894;
block1_conv2;0.5847448225728421;0.014925472846917797;0.2814790895092962;0.2814790895092962;
block1_pool;0.5661741435924134;0.010131947511194053;0.30993342723129;0.30993342723129;
block2_conv1;0.5263959248817518;0.016149116787786976;0.2753852254861582;0.2753852254861582;
block2_conv2;0.7668063401925898;0.0033956246101656505;0.22600401142578916;0.22600401142578916;
block2_pool;0.7131232133708273;0.010408611104310518;-0.052759051485370446;-0.052759051485370446;
block3_conv1;0.678749790204674;0.010827821795335707;0.2221062885581577;0.2221062885581577;
block3_conv2;0.720089615961492;0.004058844044130026;0.15684458052675904;0.15684458052675904;
block3_conv3;0.8875676426292749;0.005282668003391579;-0.29056764844099925;-0.29056764844099925;
block3_pool;0.8338630290882079;0.010636016698026309;-0.26975646975914264;-0.26975646975914264;
block4_conv1;0.8012350126754056;0.00301119539712445;0.22691776529297272;0.22691776529297272;
block4_conv2;0.8529433610163855;0.0026054565570698463;-0.19164969475209917;-0.19164969475209917;
block4_conv3;0.945366648535819;0.003270147061174134;-0.15564514987427022;-0.15564514987427022;
block4_pool;0.9048088501934288;0.004923859889410506;-0.24053602983038527;-0.24053602983038527;
block5_conv1;0.8642862733443462;0.004966038498999777;0.13843505228827113;0.13843505228827113;
block5_conv2;0.8703839950715445;0.008853610650590146;0.15908567103547322;0.15908567103547322;
block5_conv3;0.41689915591631344;0.06737392291004043;0.23359287488200706;0.23359287488200706;
block5_pool;0.40150267223682135;0.06476191734306515;0.233916383891564;0.233916383891564;
flatten;0.9801496953742698;0.004130394246053179;-0.1988886748954704;-0.1988886748954704;
fc1;0.8256855549431339;0.010817590420277353;0.08737681198597286;0.08737681198597286;
fc2;0.8317822223366982;0.01652897867172127;0.03358766559033186;0.03358766559033186;

##############
bdd_is: CFD
weights are: imagenet
metric_is: gini_filter
time : 3387.2728526274364 minutes
