layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_7;0.1838612772076204;0.04535499059612588;0.3058454462336615;0.3058454462336615;
block1_conv1;0.8219396169158562;0.006440977938250045;-0.21846937966030722;-0.21846937966030722;
block1_conv2;0.7223553607724844;0.007404912629597382;-0.31586467340281776;-0.31586467340281776;
block1_pool;0.6875208593377442;0.012829258013764938;-0.23473747884417764;-0.23473747884417764;
block2_conv1;0.5834719429874806;0.008859907013193214;0.2480461295971119;0.2480461295971119;
block2_conv2;0.8030280782034435;0.004853373183503313;-0.020289791317669968;-0.020289791317669968;
block2_pool;0.7477317463490228;0.012111130839409125;-0.08090927864945226;-0.08090927864945226;
block3_conv1;0.722519487625718;0.006514892368331175;0.23533045294029165;0.23533045294029165;
block3_conv2;0.7421729314481889;0.005225444896789483;0.034502890983974736;0.034502890983974736;
block3_conv3;0.8984873423325489;0.005952220724882109;-0.2783657358501391;-0.2783657358501391;
block3_pool;0.8484808003854666;0.011086900460263237;-0.2627268068438021;-0.2627268068438021;
block4_conv1;0.8210736302592667;0.0029036375509340533;0.16528396836163267;0.16528396836163267;
block4_conv2;0.8664195972136809;0.003485766637581466;-0.18087498520176823;-0.18087498520176823;
block4_conv3;0.9552709885791427;0.002526741410001741;-0.18556089852782698;-0.18556089852782698;
block4_pool;0.9196940836781115;0.005306601918593759;-0.2203648422516275;-0.2203648422516275;
block5_conv1;0.8975370978468981;0.002588689822724279;-0.23704590530220343;-0.23704590530220343;
block5_conv2;0.9284145565415773;0.0035887302175289216;-0.09922315473737497;-0.09922315473737497;
block5_conv3;0.9897703193905121;0.0021163780430551765;-0.17848904946032906;-0.17848904946032906;
block5_pool;0.9801496953742698;0.004130394246053179;-0.1988886748954704;-0.1988886748954704;
flatten;0.9801496953742698;0.004130394246053179;-0.1988886748954704;-0.1988886748954704;
fc1;0.8256855549431339;0.010817590420277353;0.08737681198597286;0.08737681198597286;
fc2;0.8317822223366982;0.01652897867172127;0.03358766559033186;0.03358766559033186;

##############
bdd_is: CFD
weights are: imagenet
metric_is: gini_flatten
time : 2150.1097854733466 minutes
