layer;mean_kurtosis;sd_kurtosis;corr_beauty_VS_metric;pvalue;
input_10;0.09310915711450467;0.9033791112192455;-0.2023405610053373;-0.2023405610053373;
block1_conv1;37.094305645786335;2.3520754517281843;-0.35537264608696545;-0.35537264608696545;
block1_conv2;11.244174299417407;1.539356950641559;0.012133169631167692;0.012133169631167692;
block1_pool;11.311265719306697;2.003462307486076;-0.00804801873495028;-0.00804801873495028;
block2_conv1;24.73905938935812;5.908008535356248;-0.149390526710301;-0.149390526710301;
block2_conv2;44.67504729533169;9.391332224444293;-0.18662287095637625;-0.18662287095637625;
block2_pool;33.02088399283063;7.4454667962908285;-0.21442305835780243;-0.21442305835780243;
block3_conv1;44.08822449170871;8.18172563494633;-0.26345884862880653;-0.26345884862880653;
block3_conv2;24.05734363549866;4.549854840140348;-0.26704119058632764;-0.26704119058632764;
block3_conv3;36.6057644562184;4.714926848974367;-0.26153178309273145;-0.26153178309273145;
block3_pool;23.2759243541214;3.605544949780013;-0.27346315262826215;-0.27346315262826215;
block4_conv1;29.97851206648903;4.150049851118825;-0.1309372907111671;-0.1309372907111671;
block4_conv2;30.608012274802704;4.15615677798714;-0.1978765676107167;-0.1978765676107167;
block4_conv3;76.35221912917177;8.162600370810663;-0.13294678557578496;-0.13294678557578496;
block4_pool;38.740577606496615;4.656163088771874;-0.19001534603593317;-0.19001534603593317;
block5_conv1;51.182987717415664;7.95842256073712;-0.09333931369720849;-0.09333931369720849;
block5_conv2;50.91033115880514;6.704355310764385;-0.08858671478039805;-0.08858671478039805;
block5_conv3;333.7755214260524;68.01790796626058;-0.19930103499712418;-0.19930103499712418;
block5_pool;173.09773465002093;38.019515594782455;-0.2304374005191031;-0.2304374005191031;
flatten;173.09773465002093;38.019515594782455;-0.2304374005191031;-0.2304374005191031;
fc1;6.44357618512162;0.9913978638091263;0.0182161180653598;0.0182161180653598;
fc2;7.968336494268671;1.5364490290398325;0.030234430975324304;0.030234430975324304;

##############
bdd_is: CFD
weights are: imagenet
metric_is: kurtosis
time : 3391.399682199955 minutes
