layer;mean_L1;sd_L1;corr_beauty_VS_metric;pvalue;
input_1;16065550.238210399;630285.6194633031;-0.13357746362573306;-0.13357746362573306;
conv1_1;267887766.3458283;12178686.945416756;-0.14046295022443905;-0.14046295022443905;
conv1_2;1256130853.0689237;46270215.30659034;-0.04477931816370405;-0.04477931816370405;
pool1;325833373.17533255;10819189.356642693;-0.00017841982435266515;-0.00017841982435266515;
conv2_1;1562348228.8754535;56740399.10950168;-0.05805838070279356;-0.05805838070279356;
conv2_2;2512774666.5247884;75894335.08998704;0.30535960866654516;0.30535960866654516;
pool2;750766031.3228537;28953048.475426253;0.35148765869267795;0.35148765869267795;
conv3_1;1574801496.9963725;72470095.15473579;0.37650689557827416;0.37650689557827416;
conv3_2;1548057461.9395406;111721284.6327572;0.35435507895736207;0.35435507895736207;
conv3_3;549423111.5066506;54695030.38669102;0.3385776722797193;0.3385776722797193;
pool3;273633278.43288994;29731097.357635338;0.32207118053791706;0.32207118053791706;
conv4_1;251941713.39298669;16592458.726721732;0.34357008537945105;0.34357008537945105;
conv4_2;74913417.86215235;4756413.447128085;0.3116319955401005;0.3116319955401005;
conv4_3;11592685.807738815;924444.841984929;0.378926590870937;0.378926590870937;
pool4;6634165.890568319;588931.3843434926;0.37612463923553274;0.37612463923553274;
conv5_1;2634907.056227328;152400.65867953352;0.29173403049531527;0.29173403049531527;
conv5_2;832047.6223548972;48938.61695194981;0.24959154523419444;0.24959154523419444;
conv5_3;135311.53965764813;13719.804644503882;0.35393528782316475;0.35393528782316475;
pool5;71487.73630214631;7328.172681857406;0.3621987061126991;0.3621987061126991;
flatten;71487.73630214631;7328.172681857406;0.3621987061126991;0.3621987061126991;
fc6/relu;11146.053067964971;1331.2572787485349;0.24057037600314765;0.24057037600314765;
fc7/relu;1580.1309814453125;274.67231336919303;0.22592218606071637;0.22592218606071637;

##############
bdd_is: CFD
weights are: vggface
metric_is: L1
time : 3.5668286720911664 minutes
