layer;mean_gini_filter;sd_gini_filter;corr_beauty_VS_metric;pvalue;
input_4;0.1992111426656448;0.04989836447018005;0.30952039657785646;0.30952039657785646;
conv1_1;0.5682420593809964;0.014336025496024463;0.20677155916872428;0.20677155916872428;
conv1_2;0.45906208741596294;0.03442824817897699;0.2607925965594262;0.2607925965594262;
pool1;0.4485550748775292;0.031471509061877366;0.26614199131765226;0.26614199131765226;
conv2_1;0.4157221838705418;0.024789067457922784;0.2087790596560747;0.2087790596560747;
conv2_2;0.5527567799093672;0.019901523779889893;0.2632445187604176;0.2632445187604176;
pool2;0.5352082247927195;0.01357694165579978;0.29262765951251657;0.29262765951251657;
conv3_1;0.6269371440219389;0.00878284474383481;0.17173987430993448;0.17173987430993448;
conv3_2;0.7166059707653977;0.0040219473311667985;0.08436167711803443;0.08436167711803443;
conv3_3;0.9056418358629184;0.0029852835615207154;-0.08393392338278241;-0.08393392338278241;
pool3;0.843768617563717;0.009083884682774327;-0.13316206799009422;-0.13316206799009422;
conv4_1;0.8309576197981865;0.004867061833630817;0.17632041996870926;0.17632041996870926;
conv4_2;0.9028433055946319;0.0013383568348003883;0.23248675994594303;0.23248675994594303;
conv4_3;0.9631821676503629;0.0008227243535087435;-0.06394381826929843;-0.06394381826929843;
pool4;0.9240567877432015;0.002414106476022777;-0.16070093528342544;-0.16070093528342544;
conv5_1;0.9011373068463345;0.0038350518130630686;0.38344334569636956;0.38344334569636956;
conv5_2;0.9111407609062611;0.004379040318834866;0.20312914713895006;0.20312914713895006;
conv5_3;0.841453975951799;0.018467363023688614;0.10860816624674773;0.10860816624674773;
pool5;0.8022881794867113;0.017605964729336142;0.08636260901559603;0.08636260901559603;
flatten;0.9409810333537955;0.003276237690220803;-0.21693631594877477;-0.21693631594877477;
fc6/relu;0.8850289667519666;0.00800028394029905;0.08233993630522086;0.08233993630522086;
fc7/relu;0.952142219108365;0.006108758607196348;-0.08561326271284911;-0.08561326271284911;

##############
bdd_is: CFD
weights are: vggface
metric_is: gini_filter
time : 1693.6031423370043 minutes
