layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_2;0.1838612772076204;0.04535499059612588;0.3058454462336615;0.3058454462336615;
conv1_1;0.7494847058400907;0.008253663789828607;0.05691132754117875;0.05691132754117875;
conv1_2;0.8136916024391329;0.004523036303307325;-0.34107086099101674;-0.34107086099101674;
pool1;0.8056710955540676;0.0051190827658556546;-0.3568055245455678;-0.3568055245455678;
conv2_1;0.694327439134106;0.009153082843661054;0.11449470347190566;0.11449470347190566;
conv2_2;0.7302510042448135;0.0031081497961064617;-0.16206331250009115;-0.16206331250009115;
pool2;0.6980363451972614;0.005176583767055063;-0.1810555494639764;-0.1810555494639764;
conv3_1;0.707957126324959;0.004101289252913232;0.03818043166075962;0.03818043166075962;
conv3_2;0.7490269789176047;0.003951769125812057;0.03333975800796951;0.03333975800796951;
conv3_3;0.9181937154459202;0.004276860632762361;-0.11052540746026583;-0.11052540746026583;
pool3;0.8587408332891218;0.009828090618413693;-0.1289062315150242;-0.1289062315150242;
conv4_1;0.845898778025621;0.0034438998107112506;0.17121643435174255;0.17121643435174255;
conv4_2;0.9089195703082662;0.0015590595573142425;0.1362395911101896;0.1362395911101896;
conv4_3;0.9672457862256494;0.000853748116935156;-0.17249578617020211;-0.17249578617020211;
pool4;0.9323689353024537;0.0027730937489969794;-0.19043505362651045;-0.19043505362651045;
conv5_1;0.9127993875850733;0.002691016590256694;0.45871373830820616;0.45871373830820616;
conv5_2;0.9264921074891462;0.001917840651786881;0.32486076500917793;0.32486076500917793;
conv5_3;0.9697690258341017;0.00169010994697969;-0.2138376388412342;-0.2138376388412342;
pool5;0.9409810333537955;0.003276237690220803;-0.21693631594877477;-0.21693631594877477;
flatten;0.9409810333537955;0.003276237690220803;-0.21693631594877477;-0.21693631594877477;
fc6/relu;0.8850289667519666;0.00800028394029905;0.08233993630522086;0.08233993630522086;
fc7/relu;0.952142219108365;0.006108758607196348;-0.08561326271284911;-0.08561326271284911;

##############
bdd_is: CFD
weights are: vggface
metric_is: gini_flatten
time : 453.0722342212995 minutes
