layer;mean_L0;sd_L0;corr_beauty_VS_metric;pvalue;
input_1;0.0;0.0;0.0;1.0;
block1_conv1;0.445298088927706;0.007934805215531526;-0.003953678427188311;0.9096129142347846;
block1_conv2;0.28436339569281255;0.004169312384397144;0.002212871665170356;0.9493359351140858;
block1_pool;0.21939414501404184;0.008662887088157406;-0.12432196845882021;0.00033875270391270726;
block2_conv1;0.2990973341734501;0.005001125597741793;0.10610796778704006;0.002247415060087266;
block2_conv2;0.5819115234481993;0.010888007856462755;-0.11855145299351641;0.0006351246452285983;
block2_pool;0.4569437530512691;0.024934628122835128;-0.12471729027136856;0.0003241527767896452;
block3_conv1;0.40060801489270487;0.012213309638318338;0.16197885197307213;2.840465570435706e-06;
block3_conv2;0.4877885445738768;0.004233548858170307;0.03914100009018205;0.26087311203263674;
block3_conv3;0.7962080435730214;0.01178066223657383;-0.2709478069059591;2.2126701309055726e-15;
block3_pool;0.6863944856023583;0.020865054122720536;-0.2537759685618792;1.2767149921959102e-13;
block4_conv1;0.6333210975929671;0.003700577732572139;0.31470906759532447;1.8058640500323422e-20;
block4_conv2;0.7317884663246969;0.0040136057397456475;-0.16781921409893935;1.2146131082128618e-06;
block4_conv3;0.9189885329244364;0.004266040239664446;-0.17703181190621217;2.9938464422452856e-07;
block4_pool;0.8427691841045077;0.00901585530496346;-0.21454003887148027;4.5745809352806393e-10;
block5_conv1;0.7800016669286559;0.00314527439099604;-0.034725122517781544;0.31856950705869924;
block5_conv2;0.8544862462850642;0.005944315135242422;-0.0604154015374004;0.08250005635017342;
block5_conv3;0.9921726026792598;0.004539242725125007;-0.1649100036003323;1.8613338869045306e-06;
block5_pool;0.9697115889983656;0.008702256515832958;-0.18506808218909113;8.302124820951349e-08;
flatten;0.9697115889983656;0.008702256515832958;-0.18506808218909113;8.302124820951349e-08;
fc1;0.7072697905875172;0.017297208328942992;0.11799158734870616;0.0006740890009317208;
fc2;0.7098913314950908;0.028132660646353745;0.04618997571678033;0.18450458515152868;
##############
bdd;CFD
weights;imagenet
metric;L0
date:;2021-07-06
coeff_scope: ;-0.16491000359967628;pvalue:1.8613338870821627e-06
coeff_reglog: ;-0.018665932698713895;pvalue:0.5919430994249597
coeff_slope_inflexion: ;0.0876795743584335;pvalue:0.01165237945196758
