layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_1;0.18386127720798065;0.04535499059792651;0.3058454462375179;2.286457592088055e-19;
block1_conv1;0.8219396169152358;0.006440977937425196;-0.21846937970460786;2.152952260162168e-10;
block1_conv2;0.7223553607721886;0.007404912629497531;-0.31586467327723006;1.2887770752372815e-20;
block1_pool;0.6875208593378477;0.012829258014048132;-0.23473747893874095;8.142563639752291e-12;
block2_conv1;0.5834719429874244;0.008859907011309;0.24804612960136968;4.627914817593227e-13;
block2_conv2;0.8030280782032648;0.004853373183172645;-0.02028979132832396;0.5601199877125691;
block2_pool;0.7477317463496977;0.012111130839476264;-0.08090927874524259;0.019962387529541437;
block3_conv1;0.7225194876262394;0.006514892368391892;0.23533045310126913;7.192078477847637e-12;
block3_conv2;0.7421729314474003;0.005225444895913902;0.034502890822931745;0.32167830658940166;
block3_conv3;0.8984873423333737;0.005952220722774062;-0.2783657360327273;3.4993227619421914e-16;
block3_pool;0.8484808003847643;0.011086900460758064;-0.2627268068668316;1.6000076475957747e-14;
block4_conv1;0.8210736302576783;0.0029036375522896963;0.16528396878435328;1.7626752755182064e-06;
block4_conv2;0.8664195972162031;0.003485766636611796;-0.18087498495062698;1.6328093077813624e-07;
block4_conv3;0.9552709885782346;0.0025267414102613426;-0.18556089943660764;7.65983309529545e-08;
block4_pool;0.9196940836779928;0.005306601918902406;-0.22036484231290973;1.4890247071128707e-10;
block5_conv1;0.8975370978475211;0.0025886898228399224;-0.23704590496616865;5.0127779646274564e-12;
block5_conv2;0.9284145565412334;0.0035887302179007916;-0.09922315467945392;0.004288050240696895;
block5_conv3;0.9897703193935913;0.0021163780431193414;-0.1784890491283393;2.3826558920223276e-07;
block5_pool;0.9801496953726723;0.004130394246219653;-0.1988886751100919;7.991532145048098e-09;
flatten;0.9801496953726723;0.004130394246219653;-0.1988886751100919;7.991532145048098e-09;
fc1;0.8256855549423217;0.010817590420134486;0.08737681195313719;0.011945284017486063;
fc2;0.831782222338815;0.016528978671848833;0.03358766544154219;0.3346890128307234;
##############
bdd;CFD
weights;imagenet
metric;gini_flatten
date:;2021-07-06
coeff_scope: ;-0.30733307401302;pvalue:1.5022385912264322e-19
coeff_reglog: ;-0.299978288673115;pvalue:1.1707729453120753e-18
coeff_slope_inflexion: ;0.28520567967909205;pvalue:6.075685426260781e-17
