layer;mean_kurtosis;sd_kurtosis;corr_beauty_VS_metric;pvalue;
input_1;0.0028878862157840717;0.0014542614091044236;-0.20234056100606976;4.335405647566815e-09;
block1_conv1;0.062452482602779295;0.0037863755296929317;-0.3553726460878122;5.051368054674652e-26;
block1_conv2;0.020838892062034355;0.002478059742969425;0.012133169630438327;0.7275352971703619;
block1_pool;0.02094689595720412;0.0032251774279354827;-0.00804801873553743;0.8172406551570363;
block2_conv1;0.04256298371180658;0.009510723361802306;-0.14939052671052933;1.604389231754479e-05;
block2_conv2;0.07465597490896464;0.015118184452669898;-0.18662287095691274;6.434917633681747e-08;
block2_pool;0.05589508068885219;0.011985726590479277;-0.21442305835816863;4.67735322459894e-10;
block3_conv1;0.07371130644509091;0.013170957467386852;-0.2634588486289631;1.3452896075372125e-14;
block3_conv2;0.04146555639640304;0.0073243649635851464;-0.2670411905866778;5.713652702459617e-15;
block3_conv3;0.061666028067884626;0.0075900981969392375;-0.26153178309224046;2.121064429971079e-14;
block3_pool;0.04020762615302325;0.005804213108474503;-0.27346315262816734;1.19144320971326e-15;
block4_conv1;0.05099746458319084;0.006680758132875733;-0.13093729071044743;0.00015935693352232296;
block4_conv2;0.05201083521419823;0.006690589075347002;-0.19787656761005742;9.541422201773159e-09;
block4_conv3;0.1256499462942382;0.01314016958085461;-0.13294678557543818;0.0001258291401118017;
block4_pool;0.0651026543320369;0.00749550018415535;-0.19001534603518963;3.6632177658309844e-08;
block5_conv1;0.08513246976152686;0.012811483754386111;-0.09333931369681678;0.007230849663995384;
block5_conv2;0.08469354671559189;0.010792683913423284;-0.08858671477974385;0.01081249484636351;
block5_conv3;0.5400504672778033;0.10949535743630451;-0.19930103499753749;7.432745568498645e-09;
block5_pool;0.2813910609367156;0.06120388841819335;-0.23043740051953218;1.98291984436407e-11;
flatten;0.2813910609367156;0.06120388841819335;-0.23043740051953218;1.98291984436407e-11;
fc1;0.01311088009945435;0.0015959541642051073;0.01821611806699817;0.6009025545144548;
fc2;0.015565442141227025;0.0024733785652573267;0.030234430975620872;0.38520094369113467;
##############
bdd;CFD
weights;imagenet
metric;kurtosis
date:;2021-07-06
coeff_scope: ;-0.19755427895198863;pvalue:1.0093513324027694e-08
coeff_reglog: ;-0.08395236634305553;pvalue:0.015740317979632566
coeff_slope_inflexion: ;-0.07344459844412489;pvalue:0.03470799574831755
