layer;mean_L0;sd_L0;corr_beauty_VS_metric;pvalue;
input_1;0.0;0.0;0.0;1.0;
conv1_1;0.4564445255933696;0.008136346371660559;0.2683826856845369;4.132343786186556e-15;
conv1_2;0.12647187123513864;0.006244039529774653;-0.04253576652281869;0.22173418944904333;
pool1;0.10167557687869774;0.004454176160441812;-0.09993628671889383;0.004017477388604044;
conv2_1;0.2938760904722993;0.006249369505701726;0.1927543365052465;2.3069885320239504e-08;
conv2_2;0.2566015953649683;0.011815001427990093;0.22283312536671646;9.166061989417478e-11;
pool2;0.18653110097197886;0.005876019855075181;0.3445111973822997;1.8559399258153702e-24;
conv3_1;0.41342172499597063;0.0037014718425908396;-0.22222787889415965;1.0329592868714033e-10;
conv3_2;0.4852542237539098;0.0038735883604125426;-0.1220612322125905;0.00043474315534528776;
conv3_3;0.8042961523321825;0.005940440499826829;-0.1130645837161489;0.0011259716904912732;
pool3;0.6775850818902228;0.015777827746588372;-0.13033779397844683;0.00017088183371754214;
conv4_1;0.6486013880475672;0.012909539863023404;0.19206817110124738;2.591961936963951e-08;
conv4_2;0.8104642546989133;0.0028666470282611273;0.36789024287961514;6.646847184098858e-28;
conv4_3;0.9281798173211432;0.0015488782036430003;0.005818608779279098;0.8673089981520028;
pool4;0.854112074470054;0.004122142571699763;-0.14601308941855576;2.4950529963969146e-05;
conv5_1;0.8200646662080794;0.005339855142513597;0.3940949848219563;4.051782144628119e-32;
conv5_2;0.8519501078091454;0.0031487174451160465;0.28304956138804277;1.0606427989984692e-16;
conv5_3;0.9339462456120599;0.003484203616111062;-0.2730728669489121;1.312114101140857e-15;
pool5;0.8728335509309528;0.006592774468096943;-0.28098164861320746;1.801640815499165e-16;
flatten;0.8728335509309528;0.006592774468096943;-0.28098164861320746;1.801640815499165e-16;
fc6/relu;0.7897320416414753;0.01316447222903431;0.08597901522683654;0.013383710461625859;
fc7/relu;0.9116148942903567;0.010851550734003155;-0.0892164484127434;0.010261479195911688;

##############
bdd;CFD
weights;vggface
metric;L0
time;5.383962965011596;minutescoeff_scope: -0.2620005743646216;
