layer;mean_L0;sd_L0;corr_beauty_VS_metric;pvalue;
input_1;0.0;0.0;0.0;1.0;
conv1_1;0.48305409000435917;0.008610674839440243;0.2683826856582154;4.13234381253174e-15;
conv1_2;0.13384486228943498;0.006608051284033282;-0.04253576666370351;0.22173418791702354;
pool1;0.10760300652378622;0.004713843394566163;-0.0999362866332729;0.0040174774201393775;
conv2_1;0.31100832521136784;0.006613691981746763;0.1927543363428951;2.3069885957158136e-08;
conv2_2;0.2715608210694555;0.012503786205175779;0.22283312542430192;9.166061885047529e-11;
pool2;0.19740539361258883;0.006218576989862993;0.3445111973690684;1.85593993380466e-24;
conv3_1;0.43752316866047275;0.003917258314949375;-0.22222787871481958;1.0329593233962425e-10;
conv3_2;0.5135433208912562;0.0040994087913232375;-0.12206123208237932;0.00043474316154007724;
conv3_3;0.8511845890875142;0.006286753196636653;-0.1130645835999066;0.0011259717038598852;
pool3;0.7170865828801919;0.016697635301609375;-0.13033779398537754;0.0001708818335798908;
conv4_1;0.6864132128027435;0.013662133470514473;0.19206817116713046;2.5919619080301722e-08;
conv4_2;0.8577122762618767;0.003033765317812854;0.36789024274568477;6.646847498957675e-28;
conv4_3;0.9822903592335966;0.0016391738938411097;0.005818609866986077;0.8673089735768218;
pool4;0.903904653818114;0.004362453084029421;-0.14601308971386298;2.4950529011182994e-05;
conv5_1;0.8678723675407441;0.00565115522782633;0.39409498462097553;4.051782460106405e-32;
conv5_2;0.9016166499555357;0.0033322797288737175;0.28304956105100604;1.0606428909722734e-16;
conv5_3;0.9883929557467905;0.003687323896694128;-0.2730728668919344;1.3121141196060878e-15;
pool5;0.9237175451299733;0.006977116589033723;-0.28098164855663177;1.8016408415050412e-16;
flatten;0.9237175451299733;0.006977116589033723;-0.28098164855663177;1.8016408415050412e-16;
fc6/relu;0.8357714274807203;0.013931927750583448;0.08597901520269215;0.01338371048773748;
fc7/relu;0.9647597429796183;0.011484168766810996;-0.08921644829325107;0.01026147929805531;
##############
bdd;CFD
weights;vggface
metric;L0
date:;2021-06-29
coeff_scope: ;-0.2620005743319528
coeff_reglog: ;-0.14062855810045852
coeff_inflexion: ;0.08462732963030345
