layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_1;0.18386127720798065;0.04535499059792651;0.3058454462375179;2.286457592088055e-19;
conv1_1;0.7494847058395405;0.008253663788059609;0.05691132752484014;0.10194766045849528;
conv1_2;0.8136916024405079;0.004523036302714249;-0.3410708613689864;5.644706972272487e-24;
pool1;0.80567109555526;0.005119082765569802;-0.3568055245740679;3.10694817325124e-26;
conv2_1;0.6943274391327691;0.009153082843238715;0.11449470348621608;0.0009721457040648033;
conv2_2;0.7302510042453446;0.003108149796818549;-0.16206331268908972;2.8063718696278753e-06;
pool2;0.6980363451980653;0.005176583767260135;-0.18105554939357002;1.586447279657333e-07;
conv3_1;0.7079571263245465;0.004101289253232499;0.038180431259365266;0.27276511275378323;
conv3_2;0.7490269789175332;0.003951769125382705;0.03333975805844878;0.3382706963627051;
conv3_3;0.9181937154444982;0.004276860632021397;-0.11052540772929317;0.0014555807624147764;
pool3;0.8587408332876663;0.00982809061861441;-0.12890623159457656;0.00020164565802994157;
conv4_1;0.8458987780243047;0.00344389980999742;0.17121643472572506;7.309838914314204e-07;
conv4_2;0.9089195703097944;0.0015590595584424425;0.13623959027307447;8.482645099143513e-05;
conv4_3;0.9672457862267231;0.0008537481166218957;-0.17249578634222132;6.021782411610744e-07;
pool4;0.9323689353025393;0.0027730937488943857;-0.19043505315121023;3.414133385196815e-08;
conv5_1;0.9127993875860944;0.002691016590779114;0.4587137386629515;2.8601277685573393e-44;
conv5_2;0.9264921074902056;0.0019178406490268443;0.3248607651985398;8.861780034019892e-22;
conv5_3;0.9697690258331318;0.0016901099477699885;-0.2138376388486288;5.226417739668813e-10;
pool5;0.940981033353688;0.0032762376913842094;-0.2169363167027492;2.893899140764576e-10;
flatten;0.940981033353688;0.0032762376913842094;-0.2169363167027492;2.893899140764576e-10;
fc6/relu;0.8850289667523579;0.008000283941018049;0.08233993625034178;0.01786807452727739;
fc7/relu;0.9521422191094316;0.006108758605351543;-0.08561326288812494;0.01378445800386528;
##############
bdd;CFD
weights;vggface
metric;gini_flatten
date:;2021-07-01
coeff_scope: ;-0.3100814003462224
coeff_reglog: ;-0.20290227199386704
coeff_reglog: ;-0.3224210471744878
