layer;mean_kurtosis;sd_kurtosis;corr_beauty_VS_metric;pvalue;
input_1;0.007434275764767839;0.003743700250463924;-0.2023405610060699;4.335405647566673e-09;
conv1_1;0.027842965021114375;0.0018129870614049708;0.12060666348441847;0.0005093164743297828;
conv1_2;0.09345952270063154;0.0049825545500750785;0.10271793564425377;0.003103664923401845;
pool1;0.09013505204881746;0.004471336094973882;0.06848103651801057;0.048989439129090526;
conv2_1;0.029806050081203354;0.0040250321663613566;0.19626106756608788;1.2637344274703915e-08;
conv2_2;0.060747285762740334;0.0034787444250896286;-0.0702527040924932;0.043410379585775025;
pool2;0.05500676662405407;0.004350146368389072;-0.08763108785235764;0.011698855243223172;
conv3_1;0.09648302417955594;0.013516314048261091;-0.13385257163203024;0.0001129961393967659;
conv3_2;0.10257309634442056;0.01708886697013133;-0.24951723074722318;3.3352542550114183e-13;
conv3_3;0.34363358291168034;0.06702515804648286;-0.2342752786744498;8.967632832459807e-12;
pool3;0.1805961348594311;0.03845360083744262;-0.23097966934373676;1.7741152712320262e-11;
conv4_1;0.14625767897385814;0.017183269767778838;-0.30672534550849884;1.783979033396983e-19;
conv4_2;0.1612327297423445;0.013955510488502887;-0.23144509229463298;1.6121647667188872e-11;
conv4_3;0.4469437165418708;0.033666407337975636;-0.2856336379683214;5.436458853501382e-17;
pool4;0.20567104816857223;0.017672876807777384;-0.28813463954952956;2.828161104611473e-17;
conv5_1;0.19194968932466344;0.026139196013900315;0.1543927409258453;8.19525271702279e-06;
conv5_2;0.18939364447526075;0.02422908858095794;0.24538705536096495;8.321171826778444e-13;
conv5_3;0.537664938215896;0.09421428208291639;0.03230774518334942;0.3534436687010387;
pool5;0.2570691455361563;0.044087255879421104;0.017174493465169822;0.6218806880538252;
flatten;0.2570691455361563;0.044087255879421104;0.017174493465169822;0.6218806880538252;
fc6/relu;0.05954866326262421;0.0072060195993042635;0.016529297529300796;0.6350318239799195;
fc7/relu;0.1765877909462112;0.03367907976789358;-0.07582745639908019;0.029223538823330314;
##############
bdd;CFD
weights;vggface
metric;kurtosis
date:;2021-07-06
coeff_scope: ;0.02570232942183591;pvalue:0.46042848374678313
coeff_reglog: ;0.1232817899438274;pvalue:0.0003801549036660858
coeff_slope_inflexion: ;-0.028970725037523307;pvalue:0.40538453280707265
