layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_1;0.2989733766980806;0.08626437669150337;-0.04213800875921112;0.09584805376965315;
block1_conv1;0.7566866656347409;0.017840337670100247;0.11053060522475483;1.1882410045281786e-05;
block1_conv2;0.6512166429079974;0.02049963089185115;0.1816212448550307;4.659941889461141e-13;
block1_pool;0.5436591553422265;0.03020330054601252;0.1404207078280384;2.4795090819598814e-08;
block2_conv1;0.6066831653008957;0.03815022043578923;0.1515963009777759;1.708149875798697e-09;
block2_conv2;0.7559943440792707;0.009659254477681777;0.006972027697695979;0.7829931878403351;
block2_pool;0.6163828043578375;0.02261606652519416;-0.0004772163703669029;0.9849595235375341;
block3_conv1;0.738001802321881;0.01064358989839118;0.11813240783374356;2.8269258956146753e-06;
block3_conv2;0.6990127544512476;0.013202257243515177;0.06738535926728524;0.007699646578828784;
block3_conv3;0.8474667455113883;0.01428864376336127;0.01249204318472362;0.6216632228524845;
block3_pool;0.7437067827950096;0.025138907400103983;0.013179616496282203;0.6026042130283242;
block4_conv1;0.8101723984473449;0.009466021703158762;-0.033168124893348645;0.18999073608399375;
block4_conv2;0.8409178798942418;0.006548746010851992;0.06685052153188678;0.00819895647930104;
block4_conv3;0.9365453967644274;0.006792252916239104;0.15398012204118997;9.40287219772302e-10;
block4_pool;0.8755859050685221;0.01570272147912362;0.1707789820303933;1.0734343938151835e-11;
block5_conv1;0.8779998910385797;0.005659843143361632;-0.0706020432429983;0.005230418963076777;
block5_conv2;0.8940158721660268;0.009387264064955792;0.2970940483201917;3.2133733090967016e-33;
block5_conv3;0.9662916910376199;0.007917626329627416;0.28015842962677673;1.4038297222277105e-29;
block5_pool;0.9374551466365323;0.01458276963083728;0.2921575195695534;3.9253095939209086e-32;
flatten;0.9374551466365323;0.01458276963083728;0.2921575195695534;3.9253095939209086e-32;
fc1;0.8371628194331414;0.03874930681628723;-0.18084018745211264;5.880399376039729e-13;
fc2;0.7973163376321817;0.030308295298578584;-0.012848745036123614;0.6117429725857918;
##############
bdd;JEN
weights;imagenet
metric;gini_flatten
date:;2021-07-05
coeff_scope: ;0.0662504459381265;pvalue:0.008793466013634413
coeff_reglog: ;0.011475726290267824;pvalue:0.65030217642371
coeff_slope_inflexion: ;0.03805508527424059;pvalue:0.13262229850854135
