layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_1;0.2989733766980806;0.08626437669150337;-0.04213800875921112;0.09584805376965315;
conv1_1;0.7717267587931542;0.016627822157582437;-0.08177123726078624;0.001213693304593122;
conv1_2;0.7719021159227767;0.01642330057052646;0.25658235417444836;6.425076236141734e-25;
pool1;0.7509006390945617;0.01568032348586132;0.2158657355997661;6.172104069143414e-18;
conv2_1;0.7313202410881637;0.01708509366188672;-0.10344707270802711;4.17665161537982e-05;
conv2_2;0.7248023117134997;0.008205182134388922;0.06671369969558423;0.008331253255349544;
pool2;0.6408782190182981;0.018063468216032816;-0.05363781657357518;0.03397316898382942;
conv3_1;0.6994314822349968;0.021351383248750418;0.1492328136043644;3.0591128470079337e-09;
conv3_2;0.7182567391601408;0.013057806235489963;0.15278493025478526;1.269858490000461e-09;
conv3_3;0.8747923279662828;0.01040610218849419;-0.1260165559115978;5.793133530539959e-07;
pool3;0.756739336340691;0.0216759815374379;-0.09175083527845264;0.0002811114247101045;
conv4_1;0.873220103340883;0.012716303922175558;0.18124878746657172;5.207296109459034e-13;
conv4_2;0.892123950656366;0.007704442408436677;-0.08747534603179262;0.0005357960128524326;
conv4_3;0.9647009579061421;0.0036177084102423525;0.11294977626639315;7.598173904920518e-06;
pool4;0.915423239797057;0.010055889529927262;0.11506823410222276;5.097954446889249e-06;
conv5_1;0.8962272613997441;0.0073090434473413474;-0.16893118837992635;1.7964108805621896e-11;
conv5_2;0.9059861596400511;0.008067646256902684;0.017706350917981777;0.48423227594910023;
conv5_3;0.9726447359027511;0.003916081836464331;0.026315745249844633;0.29846289871684745;
pool5;0.9475777574226487;0.007938380608401375;0.06491901152280066;0.010251908521659255;
flatten;0.9475777574226487;0.007938380608401375;0.06491901152280066;0.010251908521659255;
fc6/relu;0.7686470488739603;0.016949077753397712;0.1055218118024029;2.9135468152075535e-05;
fc7/relu;0.9491679624404351;0.007140801716455643;-0.0481411108006872;0.057062789614131575;
##############
bdd;JEN
weights;vggface
metric;gini_flatten
date:;2021-07-05
coeff_scope: ;0.043509321901953606;pvalue:0.08551058825118071
coeff_reglog: ;0.04074744154174242;pvalue:0.10732764204408259
coeff_slope_inflexion: ;0.054305970728101824;pvalue:0.03180586013820941
