layer;mean_L0;sd_L0;corr_beauty_VS_metric;pvalue;
block1_conv1;0.45552851917902853;0.040943930122289446;0.18999192265295323;3.6086668007797695e-14;
block1_conv2;0.312369200816198;0.04258341960563389;0.08985621621581168;0.0003753970634460357;
block1_pool;0.16028421606616494;0.019459064154163166;0.10260447550310216;4.825307228912102e-05;
block2_conv1;0.28651503513454774;0.0318711849816889;0.15005487513874755;2.500476850357752e-09;
block2_conv2;0.5099112795225681;0.007666947376187131;0.03850631813169024;0.1280878286138464;
block2_pool;0.24919631107076348;0.011945866287225724;-0.006186400134794493;0.8069328697707221;
block3_conv1;0.39661657839006825;0.027785595333158254;0.054771733373578185;0.030366074092552254;
block3_conv2;0.42371103794617354;0.02104500428635358;-0.03895278110253256;0.1237207365706618;
block3_conv3;0.7705847681037986;0.014386398229348877;0.04153343826323971;0.10071222206203106;
block3_pool;0.595216115664416;0.030956204617596236;0.021007827158688416;0.40655729436621035;
block4_conv1;0.6800556251846348;0.022511613434088237;-0.0420211466525064;0.09677334516814047;
block4_conv2;0.7521764814596064;0.011260568447812876;-0.04165430426625795;0.09972437131972352;
block4_conv3;0.9029369466566617;0.012083363393608536;0.11108395029162103;1.0735810800137848e-05;
block4_pool;0.8105668877285799;0.02710937189589907;0.1143215556166616;5.872596153331387e-06;
block5_conv1;0.7952857254046052;0.011488107539893572;-0.179056813938347;9.963118885435858e-13;
block5_conv2;0.7771066830042958;0.0223610997867414;0.29537755760926243;7.714778011512449e-33;
block5_conv3;0.9546602293898605;0.007062530495160629;0.16215714113491297;1.1300521825741175e-10;
block5_pool;0.9127032665873451;0.013733696109434555;0.16323560001163015;8.475384216646513e-11;
flatten;0.9127032665873451;0.013733696109434555;0.16323560001163015;8.475384216646513e-11;
fc1;0.8747764777771113;0.028180639308892707;0.07415707625379388;0.0033518637662156665;
drop_fc1;0.8747764777771113;0.028180639308892707;0.07415707625379388;0.0033518637662156665;
fc2;0.5282554894933621;0.1063187591557325;0.05431386323335119;0.031780983775894694;
drop_fc2;0.5282554894933621;0.1063187591557325;0.05431386323335119;0.031780983775894694;

##############
bdd;JEN
weights;vggplace
metric;L0
time;16.247622871398924;minutes
