layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
block1_conv1;0.7446180983767304;0.017700189014698574;0.20044132269957385;1.2504660520803878e-15;
block1_conv2;0.6361596581847737;0.031572245891433835;0.12785690725888071;3.945260483122553e-07;
block1_pool;0.5248524624980894;0.02815234388725025;0.15057406370909793;2.2002289057300472e-09;
block2_conv1;0.5750797808004388;0.03647029259019147;0.16612957717256155;3.879267117290032e-11;
block2_conv2;0.7564091060360798;0.011588650387280767;0.03675960692771061;0.14633157596331223;
block2_pool;0.6062422782564302;0.025055069452943814;0.028972676668844847;0.25231159645971774;
block3_conv1;0.6695481032672381;0.016170084868293823;0.12358162076658424;9.55145092094143e-07;
block3_conv2;0.6731463057426317;0.018097910013140827;0.016687217124796306;0.5097392255712518;
block3_conv3;0.8854142542617283;0.008122200580999103;0.06002788143968057;0.017623648715891373;
block3_pool;0.7946358828627479;0.01886446220010539;0.035261857649005766;0.16350239845694015;
block4_conv1;0.8335081173440151;0.011827717614812298;-0.00583065628609216;0.8178343112272346;
block4_conv2;0.8706461206100022;0.006786204288608071;-0.01770207717100411;0.4843377765086776;
block4_conv3;0.9526338674624887;0.006414970457220782;0.12063278563519579;1.728248629584714e-06;
block4_pool;0.9065833282949018;0.014695637220292901;0.12291743792270887;1.0929395079328696e-06;
block5_conv1;0.8969420244201893;0.005645301198292006;-0.11077604750919791;1.136010858859338e-05;
block5_conv2;0.8826813360087568;0.01276866283594284;0.3085623639054912;7.915927096254933e-36;
block5_conv3;0.9776575157834397;0.0036878322277758874;0.17724253646634164;1.6941599073112373e-12;
block5_pool;0.9567925800779281;0.007265398238807035;0.17807707361271374;1.3280091658106406e-12;
flatten;0.9567925800779281;0.007265398238807035;0.17807707361271374;1.3280091658106406e-12;
fc1;0.9314172794895003;0.01608053379512686;0.06809861544680368;0.007076180157278463;
drop_fc1;0.9314172794895003;0.01608053379512686;0.06809861544680368;0.007076180157278463;
fc2;0.7263071095502751;0.06831941134760311;0.050778668024803734;0.044726982265956776;
drop_fc2;0.7263071095502751;0.06831941134760311;0.050778668024803734;0.044726982265956776;

##############
bdd;JEN
weights;vggplace
metric;gini_flatten
time;996.897329711914;minutes
