layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_1;0.2436109683166;0.12673029735854305;-0.22450100888127816;3.9299596623378873e-07;
block1_conv1;0.7847794619422;0.03836650654820071;0.16678663084119852;0.0001793896251323119;
block1_conv2;0.7043543926316;0.031723734480276086;0.3922671425925889;7.695926200241364e-20;
block1_pool;0.6407552671864;0.05922905417504661;0.32053304828624646;2.0722353332241564e-13;
block2_conv1;0.594376618038;0.05354091141395727;-0.013204141690579952;0.7683548987292381;
block2_conv2;0.7782457037752;0.024368594341945812;0.1602224362694432;0.00032193392118871564;
block2_pool;0.6794119658546;0.056686311252416216;0.19248096030409295;1.4654205154739392e-05;
block3_conv1;0.7254601942734;0.030020993081063443;-0.04899502275097676;0.27418453211211485;
block3_conv2;0.724333775898;0.022627828041980894;0.22647388761807244;3.086564576974549e-07;
block3_conv3;0.8688375577296;0.027332319150154046;0.11441387908180653;0.010455727544526837;
block3_pool;0.7905000785926;0.05433712527164412;0.14787348160116376;0.0009114411229223725;
block4_conv1;0.8128651352254;0.013229782844129163;0.09641177790321222;0.031125819292148194;
block4_conv2;0.8565679894082;0.012383491401340823;0.22200516058119896;5.317968144043153e-07;
block4_conv3;0.9464341074224;0.011906054859151746;0.17619862830051633;7.460770568350677e-05;
block4_pool;0.9007344586772;0.0277470198433957;0.16178080177222184;0.0002807642959641433;
block5_conv1;0.8819595655568;0.0065556370453498;0.10801414593896903;0.015679236909602302;
block5_conv2;0.9005954130538;0.012365130652461849;0.154317884857155;0.0005346244847235239;
block5_conv3;0.9739885065426;0.008546810717484492;0.15016808793422604;0.0007555740627340268;
block5_pool;0.953488228234;0.0156938482218124;0.15712780409431923;0.00042089956517096;
flatten;0.953488228234;0.0156938482218124;0.15712780409431923;0.00042089956517096;
fc1;0.8097402640308;0.039606115411660384;0.03404110942746599;0.44755510741497717;
fc2;0.8010216292286;0.036605451746721696;0.062470957329757444;0.16308840593560314;
##############
bdd;MART
weights;imagenet
metric;gini_flatten
date:;2021-07-05
coeff_scope: ;0.23262059486615685;pvalue:1.4337193212426292e-07
coeff_reglog: ;0.15584757826069862;pvalue:0.00046958960327589893
coeff_slope_inflexion: ;-0.21712178303771767;pvalue:9.514174899336996e-07
