layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_1;0.2436109683166;0.12673029735854305;-0.22450100888127816;3.9299596623378873e-07;
conv1_1;0.7453167221002;0.026237329268310423;-0.31937402720472474;2.554498514071961e-13;
conv1_2;0.7802434164908;0.030502969418133862;0.014387461065061075;0.748267371290853;
pool1;0.7650038166236;0.032635480432492946;0.07654067516379162;0.08731643179526288;
conv2_1;0.7074252784884;0.0343336926606185;-0.18255135798325453;4.020284022360072e-05;
conv2_2;0.7269321283986;0.014424235170810908;0.0796222477647008;0.07527643290862092;
pool2;0.6659002575402;0.03529459726831461;0.17102160774621905;0.00012157108014957635;
conv3_1;0.700038469676;0.0326468781038908;0.04144592217939387;0.3550507765736399;
conv3_2;0.7259659949768;0.020826299079074517;0.17289316281735528;0.00010206399108430145;
conv3_3;0.8962760689848;0.020365671242619794;0.18510525350853665;3.116744527542714e-05;
pool3;0.8070489659022;0.0487562442632311;0.19333824769092153;1.3398301555744254e-05;
conv4_1;0.8563508535098;0.02351699452060929;-0.07691118946157618;0.08579158902059583;
conv4_2;0.897998872303;0.011935889226547168;0.1463130736991986;0.0010338643942965312;
conv4_3;0.9705444906554;0.0058997115310544385;0.1252918434440604;0.005021329605029011;
pool4;0.9352419197724;0.01908051920878873;0.13570089481913064;0.0023591368224036868;
conv5_1;0.8917265237274;0.011333594433955724;-0.19963865334510233;6.851734023968993e-06;
conv5_2;0.9130018519854;0.012052557370565799;-0.0648554017305797;0.14758739196648826;
conv5_3;0.9766224395068;0.005280189202029331;0.2266258166444443;3.0293994934651907e-07;
pool5;0.957647967933;0.01083553141629427;0.22855448762516362;2.386702240417506e-07;
flatten;0.957647967933;0.01083553141629427;0.22855448762516362;2.386702240417506e-07;
fc6/relu;0.7631749151542;0.017117933128040216;-0.24975179768199493;1.5085307284888753e-08;
fc7/relu;0.953324243729;0.007881752519803106;0.07216337945482389;0.10703043870914009;
##############
bdd;MART
weights;vggface
metric;gini_flatten
date:;2021-07-01
coeff_scope: ;0.23433489837120378;pvalue:1.1532404272296504e-07
coeff_reglog: ;0.3061736647553625;pvalue:2.598883258507826e-12
coeff_slope_inflexion: ;0.11055747070991902;pvalue:0.013378197259722514
