layer;mean_L1;sd_L1;corr_beauty_VS_metric;pvalue;
input_11;12533788.649;1487657.2293048333;0.12424937657177682;0.12424937657177682;
conv1_1;206726412.47563636;25665575.623197246;0.1610359319652266;0.1610359319652266;
conv1_2;1013791676.7825454;114435926.48756796;0.17791491303056528;0.17791491303056528;
pool1;267182689.71054545;28932133.04554495;0.19430983572962227;0.19430983572962227;
conv2_1;1261391005.1956363;139559628.03187737;0.17509886131886626;0.17509886131886626;
conv2_2;2346053720.5992727;217662782.47637585;0.09530596735149185;0.09530596735149185;
pool2;731845741.3876364;66110368.99810511;0.1466679611882038;0.1466679611882038;
conv3_1;1593905635.4094546;154485475.3170406;0.03941018154258992;0.03941018154258992;
conv3_2;1732560017.4196362;186957073.50622162;0.010826643716971127;0.010826643716971127;
conv3_3;691685652.9105455;78244015.73452508;0.051712816614816894;0.051712816614816894;
pool3;344103753.0065455;39004840.722749405;0.11872874273099417;0.11872874273099417;
conv4_1;291711904.27927274;37535478.10990747;-0.1260763796022768;-0.1260763796022768;
conv4_2;88902894.38545455;10217814.498530151;-0.09147721366330688;-0.09147721366330688;
conv4_3;13642847.596545454;1396630.156863058;0.053162564057603175;0.053162564057603175;
pool4;8052211.314363636;858854.9525335113;0.12367761091808079;0.12367761091808079;
conv5_1;2843417.539886364;257705.73323852412;0.0029181645704796796;0.0029181645704796796;
conv5_2;872580.6314545454;88005.94740682039;-0.0032841580599587313;-0.0032841580599587313;
conv5_3;153328.1623494318;20460.646482859094;0.13985707187998342;0.13985707187998342;
pool5;79950.323328125;9892.119041070115;0.16950498239076764;0.16950498239076764;
flatten;79950.323328125;9892.119041070115;0.16950498239076764;0.16950498239076764;
fc6/relu;11727.122657137785;1568.5258161977672;0.0252074917655461;0.0252074917655461;
fc7/relu;1583.4464752641159;364.26364207884944;0.2501498679698834;0.2501498679698834;

##############
bdd_is: SCUT-FBP
weights are: vggface
metric_is: L1
time : 3406.9347769498827 minutes
