layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_12;0.2928759886424251;0.062117212929950025;-0.015917100845438716;-0.015917100845438716;
conv1_1;0.7579859996549196;0.014457512383433993;-0.060070857377934744;-0.060070857377934744;
conv1_2;0.798022915522595;0.013102113517115082;0.08774703518378958;0.08774703518378958;
pool1;0.7887820512521713;0.012846355079918038;0.06664243741123396;0.06664243741123396;
conv2_1;0.7166849629028162;0.01603893035750362;-0.20030252845894003;-0.20030252845894003;
conv2_2;0.7329818768849653;0.007775984193484217;-0.19774491208186146;-0.19774491208186146;
pool2;0.6910163585004379;0.009349000387156648;-0.2512284359525462;-0.2512284359525462;
conv3_1;0.7151798084737232;0.008932990094383931;0.04030754124261605;0.04030754124261605;
conv3_2;0.7452998493423626;0.00691655176156294;-0.009838927487541744;-0.009838927487541744;
conv3_3;0.900936478070053;0.005184150210552741;-0.10802750985600923;-0.10802750985600923;
pool3;0.8226528355360357;0.011286341367419113;-0.12271795647535697;-0.12271795647535697;
conv4_1;0.850701828717994;0.00526881901813457;0.19870046209648806;0.19870046209648806;
conv4_2;0.9078530334760092;0.001966104248014022;-0.07139329786854189;-0.07139329786854189;
conv4_3;0.9663893282562138;0.0013721296705902569;-0.2201977783836378;-0.2201977783836378;
pool4;0.9262188301040559;0.003910601402410036;-0.21543057836373491;-0.21543057836373491;
conv5_1;0.9197395489351763;0.002903137079789674;0.1302288024688595;0.1302288024688595;
conv5_2;0.9305744420499461;0.002946002462214777;-0.017568581260854272;-0.017568581260854272;
conv5_3;0.9684720935040565;0.003869290565528773;-0.18198754255444202;-0.18198754255444202;
pool5;0.9383135582588519;0.006559204831789922;-0.21235660995566488;-0.21235660995566488;
flatten;0.9383135582588519;0.006559204831789922;-0.21235660995566488;-0.21235660995566488;
fc6/relu;0.9019992372640245;0.008561632781811634;-0.18555915782634522;-0.18555915782634522;
fc7/relu;0.9572910866844322;0.007650921975254555;-0.2951362848266766;-0.2951362848266766;

##############
bdd_is: SCUT-FBP
weights are: vggface
metric_is: gini_flatten
time : 6404.602040640513 minutes
