layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_1;0.2928759886424909;0.06211721292954737;-0.015917100839437544;0.23790070144592135;
block1_conv1;0.8083917929356181;0.010714509656020589;0.10652194518027418;2.363156362226554e-15;
block1_conv2;0.7157023497237273;0.014395009487772153;-0.41620504071791037;2.0302935609713465e-229;
block1_pool;0.6776521116655273;0.018939669749074763;-0.37584930319498416;4.3487750733096006e-184;
block2_conv1;0.6093890796519636;0.014370948616757778;-0.12957651391427474;5.004251126048246e-22;
block2_conv2;0.7951437233218546;0.008592604040027908;-0.2432784651500514;6.432076770079553e-75;
block2_pool;0.7217347581868364;0.01714992746736515;-0.1973467818122988;2.035377110654337e-49;
block3_conv1;0.7251931481574727;0.008673202271836626;-0.17879932719738267;9.692535969094399e-41;
block3_conv2;0.7298333207200182;0.0077744948418723625;-0.20140823680578587;1.933367058639746e-51;
block3_conv3;0.8722379615050727;0.007623242784192945;-0.21066044637179995;3.261131664862035e-56;
block3_pool;0.8031300820519637;0.01381366730062291;-0.2125815083663705;3.1134166492604966e-57;
block4_conv1;0.8133222289402545;0.0036050283305764;0.034599686421572254;0.010282946249591769;
block4_conv2;0.8486003833434909;0.004597274669222386;-0.25126434239901946;5.918395691578885e-80;
block4_conv3;0.944733671978309;0.0032959470610738778;-0.05722909976421155;2.1690389010063447e-05;
block4_pool;0.8990658311462545;0.0070404065976006555;-0.11890850614872672;8.918752659608588e-19;
block5_conv1;0.8825819407516545;0.0029210571403028604;0.09969599987191007;1.2588081527162576e-13;
block5_conv2;0.9158782581893091;0.005866648348769022;-0.18036465962638776;1.9458766112422363e-41;
block5_conv3;0.9911958908242727;0.001726276142924237;-0.2196001254806223;4.790678093624176e-61;
block5_pool;0.9824978937665273;0.0034407791029660473;-0.23655196093161845;8.112918636037407e-71;
flatten;0.9824978937665273;0.0034407791029660473;-0.23655196093161845;8.112918636037407e-71;
fc1;0.8175003246131637;0.010404223058651562;0.07964900152505408;3.319076590388749e-09;
fc2;0.8110854508546546;0.018018168246324226;0.09054961368110609;1.724411576456818e-11;
##############
bdd;SCUT-FBP
weights;imagenet
metric;gini_flatten
date:;2021-07-01
coeff_scope: ;0.009814106111833906;pvalue:0.4668060196020116
coeff_reglog: ;0.12591090434596547;pvalue:7.049775316278223e-21
coeff_slope_inflexion: ;0.13615933832301733;pvalue:3.566544796672338e-24
