layer;mean_L0;sd_L0;corr_beauty_VS_metric;pvalue;
conv1_1;0.4788218519108194;0.012420236598524492;0.09512736798602453;1.5575491326111922e-12;
conv1_2;0.15092774343402135;0.017063744966835832;-0.3103664849087733;4.109778150039344e-123;
pool1;0.12461069625826182;0.0169139236208624;-0.37569258945675166;6.342755332245163e-184;
conv2_1;0.3073717377331792;0.011615612928185939;-0.19372242744831913;1.1914171190701934e-47;
conv2_2;0.30504355588782034;0.017010868776190916;-0.0591086502139888;1.1521362457068352e-05;
pool2;0.2181004142690457;0.011140956720844343;-0.19806497408255794;9.000186631127705e-50;
conv3_1;0.40911098252333605;0.009255971193741759;0.22574413047423808;1.7035804995241938e-64;
conv3_2;0.4835200901916164;0.00699423247524708;0.08190541151797709;1.178737491724659e-09;
conv3_3;0.7813060132877725;0.0062533050743799785;-0.07509989798864161;2.458758452505519e-08;
pool3;0.619109483708256;0.015284792162181392;-0.12364500708795992;3.4806806798516326e-20;
conv4_1;0.7010364575784149;0.013784320794975588;0.15745956859068605;7.212667465247301e-32;
conv4_2;0.8201595085299744;0.003975404469674674;-0.008456338149899472;0.5306543286429626;
conv4_3;0.9307262508696661;0.0025165792884142757;-0.2241013021791494;1.4582216149321554e-63;
pool4;0.849867086038961;0.007165482511081847;-0.23430513409244091;1.7801351104133134e-69;
conv5_1;0.8388677636537569;0.005742530609826287;0.044429972993258605;0.0009810918442838032;
conv5_2;0.8627282003710575;0.005834664523708857;-0.0943070889291121;2.4168990713592156e-12;
conv5_3;0.9308607084879407;0.007626417031375557;-0.18415546832397078;3.7476468570356455e-43;
pool5;0.866187601461039;0.01275675774606046;-0.21715730427059035;1.0538484156274394e-59;
flatten;0.866187601461039;0.01275675774606046;-0.21715730427059035;1.0538484156274394e-59;
fc6/relu;0.8181094193892046;0.014350665535228539;-0.1549355344504607;6.759616000799085e-31;
fc7/relu;0.9213389559659091;0.013734400958685302;-0.29527835538225045;4.439761745760594e-111;

##############
bdd;SCUT-FBP
weights;vggface
metric;L0
time;15.895409274101258;minutes
