layer;mean_L0;sd_L0;corr_beauty_VS_metric;pvalue;
input_1;0.0;0.0;0.0;1.0;
conv1_1;0.5027568073515362;0.013041089235708908;0.09512736805260362;1.5575490768295115e-12;
conv1_2;0.15847219613538213;0.017916713506284574;-0.31036648490464197;4.109778182154186e-123;
pool1;0.13083963391108283;0.017759403012874653;-0.375692589462129;6.342755250125217e-184;
conv2_1;0.3227363849758249;0.012196244694786496;-0.19372242733960857;1.1914172630608966e-47;
conv2_2;0.3202918238790772;0.017861194183241853;-0.059108650205426994;1.1521362490766218e-05;
pool2;0.22900263954669495;0.011697861761173718;-0.19806497416410596;9.000185795581499e-50;
conv3_1;0.4295612879921115;0.009718651118053086;0.22574413044070266;1.7035805744896817e-64;
conv3_2;0.5076898973277976;0.007343854452610457;0.08190541162358862;1.1787374338401741e-09;
conv3_3;0.8203612997977779;0.006565890178458474;-0.07509989801850034;2.458758421097626e-08;
pool3;0.6500570226435588;0.016048835862323196;-0.12364500711282311;3.4806806194234964e-20;
conv4_1;0.7360792951339894;0.014473360158343032;0.15745956862436628;7.212667248077282e-32;
conv4_2;0.8611569718085621;0.004174123739801228;-0.008456338151623924;0.5306543285591463;
conv4_3;0.9772506341098368;0.0026423759976368826;-0.2241013020484225;1.4582218630716688e-63;
pool4;0.8923495474255437;0.007523664794873423;-0.23430513405704703;1.7801351965600156e-69;
conv5_1;0.8808003999011844;0.006029583537064777;0.04442997294121182;0.000981091857779907;
conv5_2;0.905853552630551;0.006126322965367781;-0.09430708884162305;2.4168991841397216e-12;
conv5_3;0.9773918128856722;0.00800764013377362;-0.18415546831737964;3.747646883056105e-43;
pool5;0.9094858794358878;0.013394432126809528;-0.21715730427573757;1.0538484088057332e-59;
flatten;0.9094858794358878;0.013394432126809528;-0.21715730427573757;1.0538484088057332e-59;
fc6/relu;0.8590044044880003;0.015068014877004765;-0.15493553446221114;6.759615930969819e-31;
fc7/relu;0.9673940947794426;0.014420944969933342;-0.2952783553629508;4.439761898443054e-111;
##############
bdd;SCUT-FBP
weights;vggface
metric;L0
date:;2021-07-06
coeff_scope: ;-0.20204768646184437;pvalue:9.201872264874032e-52
coeff_reglog: ;-0.1380647279683491;pvalue:8.138922712134441e-25
coeff_slope_inflexion: ;-0.21473062602464887;pvalue:2.1881143528747926e-58
