layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_1;0.2928759886424909;0.06211721292954737;-0.015917100839437544;0.23790070144592135;
conv1_1;0.7579859996550545;0.014457512383858452;-0.06007085736746067;8.273276847842857e-06;
conv1_2;0.7980229155229455;0.013102113516558923;0.08774703513910105;7.097078716971469e-11;
pool1;0.7887820512519091;0.012846355079718713;0.06664243740571581;7.547766368307924e-07;
conv2_1;0.7166849629027818;0.016038930357501254;-0.20030252845912133;6.938515522625649e-51;
conv2_2;0.7329818768853636;0.00777598419323911;-0.197744912058504;1.2952609020915938e-49;
pool2;0.6910163585005819;0.009349000386956225;-0.25122843593803884;6.24105296426108e-80;
conv3_1;0.7151798084736727;0.008932990094118217;0.040307541228115314;0.0027913933695899954;
conv3_2;0.7452998493426727;0.0069165517616638925;-0.009838927477626052;0.46567985061957307;
conv3_3;0.9009364780707273;0.005184150210573091;-0.1080275097960893;9.493865815559953e-16;
pool3;0.8226528355366182;0.01128634136830084;-0.12271795642849125;6.633307998788286e-20;
conv4_1;0.8507018287172;0.005268819017233409;0.19870046216091689;4.360307350693176e-50;
conv4_2;0.9078530334760182;0.001966104247959618;-0.07139329782211042;1.156573913859489e-07;
conv4_3;0.966389328255491;0.0013721296704535923;-0.2201977785006413;2.236011133128976e-61;
pool4;0.9262188301043818;0.003910601402648391;-0.2154305784695934;9.157255053888456e-59;
conv5_1;0.9197395489355819;0.002903137079510925;0.13022880267279768;3.100319429961949e-22;
conv5_2;0.9305744420504182;0.0029460024624382145;-0.017568581149436734;0.1926685839639095;
conv5_3;0.9684720935036909;0.003869290565630775;-0.18198754259014008;3.6255556646781057e-42;
pool5;0.9383135582588;0.00655920483184075;-0.21235660996837652;4.103776086970495e-57;
flatten;0.9383135582588;0.00655920483184075;-0.21235660996837652;4.103776086970495e-57;
fc6/relu;0.9019992372634181;0.008561632781419009;-0.18555915789280167;8.491690769974647e-44;
fc7/relu;0.9572910866843818;0.007650921975562171;-0.2951362848251756;5.718354562050823e-111;
##############
bdd;SCUT-FBP
weights;vggface
metric;gini_flatten
date:;2021-07-01
coeff_scope: ;0.006961227383767408;pvalue:0.6057514998431837
coeff_reglog: ;-0.12831391523706834;pvalue:1.2554996029524176e-21
coeff_slope_inflexion: ;0.002828106220916453;pvalue:0.8339090709485897
