layer;mean_kurtosis;sd_kurtosis;corr_beauty_VS_metric;pvalue;
input_1;0.001915295765641619;0.0012774916700313277;0.07912697728713021;4.200585070358629e-09;
conv1_1;0.025305567044872815;0.005352422752348283;-0.26078883138300846;3.349216699354491e-86;
conv1_2;0.07834872779449151;0.014649929095828521;-0.2928909700317614;3.062044225031902e-109;
pool1;0.07417192381852074;0.013583668797532745;-0.3034756109309456;1.5804594103963412e-117;
conv2_1;0.03352444932676766;0.010039347591931947;-0.015092810674712588;0.2630880450302583;
conv2_2;0.04842359345539953;0.010787282892360483;-0.17954835547172845;4.503621932468869e-41;
pool2;0.04191306686429168;0.009336966325502821;-0.1417477810986568;4.4096397112062497e-26;
conv3_1;0.056841404159924544;0.012131596695002663;0.004930865844327663;0.7146621556065009;
conv3_2;0.05103166727712554;0.011471545744673657;0.023920201612514087;0.0760928967948378;
conv3_3;0.14890626399550508;0.03920285817009094;-0.16939373770501864;1.1011212312924078e-36;
pool3;0.0780328510107675;0.02239475810592915;-0.18992249195005015;7.790088830658149e-46;
conv4_1;0.06762407878175454;0.008941510235024151;-0.045823422485462256;0.0006754149181827986;
conv4_2;0.08359890765165387;0.0066704557809324945;-0.16004719459574746;6.996476401455595e-33;
conv4_3;0.2418134538308265;0.01970784148976083;-0.07179699707737676;9.806300009493868e-08;
pool4;0.1064603335310659;0.010037587063817277;-0.11324678193860185;3.644420112976964e-17;
conv5_1;0.10562162728830143;0.01369709185228276;0.25975090454286437;1.6541138145380452e-85;
conv5_2;0.11685440965233279;0.0186742847154754;0.1619460976371719;1.2314739242563118e-33;
conv5_3;0.36321873787975;0.0989701212367231;-0.129950001270637;3.805490086657912e-22;
pool5;0.1756895887621171;0.04552452997276578;-0.1334519561231385;2.80797695709937e-23;
flatten;0.1756895887621171;0.04552452997276578;-0.1334519561231385;2.80797695709937e-23;
fc6/relu;0.04709333474902874;0.006850655238918535;-0.18902753619497809;2.0584769844219955e-45;
fc7/relu;0.12289815831486195;0.028004854339557857;-0.22676711425047275;4.435430413109602e-65;
##############
bdd;SCUT-FBP
weights;vggface
metric;kurtosis
date:;2021-07-06
coeff_scope: ;-0.13116199224359765;pvalue:1.5562835185242825e-22
coeff_reglog: ;0.006629498391201687;pvalue:0.6230372084029518
coeff_slope_inflexion: ;-0.008350326696555114;pvalue:0.5358196312390371
