layer;mean_L0;sd_L0;corr_beauty_VS_metric;pvalue;
input_1;0.0;0.0;0.0;1.0;
conv1_1;0.4869037472730022;0.007722314315527819;0.328368633165715;0.018646182495293987;
conv1_2;0.12983791477957343;0.006109902276047159;-0.19411440331443128;0.17228120629762464;
pool1;0.10467864449556247;0.0037013959816786404;-0.21548919165183664;0.128849643548387;
conv2_1;0.30998284718653163;0.005487240481908635;0.21070911752332164;0.137761406991905;
conv2_2;0.27137432662565075;0.010534394431225502;0.10767922719025205;0.4519847406358899;
pool2;0.1991026458869187;0.0062995433899511845;0.3482036901058082;0.01228229138461076;
conv3_1;0.4416847288111665;0.003155177992870809;-0.29078433094736805;0.038443007717526005;
conv3_2;0.5186481350426816;0.0028671738124744677;-0.13615011964581877;0.3407686752910284;
conv3_3;0.8586793962927617;0.004841699374016397;0.18910328883849878;0.18384290144191717;
pool3;0.7255584493597451;0.013576867046162074;0.14386183822468232;0.31385774904101027;
conv4_1;0.6899722575101727;0.010697309994917527;-0.03138848711020343;0.826918579970439;
conv4_2;0.8645688450911589;0.0032024107125860086;0.4588550389228853;0.0007076216189845784;
conv4_3;0.9895640070097989;0.001675533870199142;0.19514390002471452;0.1699727057611207;
pool4;0.9120934870252801;0.004133195557437645;0.14156447684388032;0.32172895118128886;
conv5_1;0.8736937190860086;0.005535289945842835;0.3780131472336252;0.006239578198869068;
conv5_2;0.9086283831932106;0.0038068675151715476;0.334515326568287;0.016428138977420115;
conv5_3;0.9932162872117241;0.003258230749207603;-0.34325930005562727;0.013662182956070834;
pool5;0.9265261480549986;0.005994403209781875;-0.3808205761960935;0.00583516347634335;
flatten;0.9265261480549986;0.005994403209781875;-0.3808205761960935;0.00583516347634335;
fc6/relu;0.8553384697777711;0.010737108852114772;-0.007387623590492295;0.9589662143234721;
fc7/relu;0.9717811074672689;0.009454897862172594;-0.04737701454244347;0.7412963063568435;
##############
bdd;BIGTEST
weights;vggface
metric;L0
date:;2021-06-29
coeff_scope: ;-0.32319269286868274
coeff_reglog: ;-0.1474972240408949
