layer;mean_L0;sd_L0;corr_beauty_VS_metric;pvalue;
input_1;0.0;0.0;0.0;1.0;
block1_conv1;0.48767626599236247;0.008241636490494574;-0.32226251687260704;0.0210958695396879;
block1_conv2;0.21143763156388365;0.008799482737715242;-0.05777754727988004;0.6871529343694829;
block1_pool;0.15377648542388273;0.0019903749312398097;0.18898195334673412;0.18412958543897903;
block2_conv1;0.2923180409390392;0.002650930083061875;-0.1479665662980828;0.3001025714235138;
block2_conv2;0.4987749320628976;0.0022378199344964744;0.2522372249248956;0.0741520855365733;
block2_pool;0.3672150778623803;0.016424179020437638;0.10527228466356862;0.46221577378764844;
block3_conv1;0.3065639251514743;0.010220678055723574;0.03501944978087256;0.8072589511869825;
block3_conv2;0.4300501785605324;0.006712088089130099;0.3323621933147404;0.017178072022579906;
block3_conv3;0.852678590090193;0.006483412527781702;-0.05266974694610172;0.7135688174104157;
block3_pool;0.7524753960883801;0.01355033035251645;-0.005983708236201394;0.9667592295026946;
block4_conv1;0.6084655256977733;0.007345564629019191;0.10556030582062664;0.460984944875948;
block4_conv2;0.7929340708732759;0.00308074497956042;0.0543947389337323;0.7046086064254813;
block4_conv3;0.9593360150696847;0.0036111636955322222;0.10856736492259894;0.44824117246541484;
block4_pool;0.9089704407316554;0.007340295281517966;0.06854394785562634;0.6327006423150541;
block5_conv1;0.7782542683256243;0.0029246104306473726;-0.0043671620095245;0.975736307628736;
block5_conv2;0.8444244549215294;0.007230388898768876;0.14586003450417975;0.307112261548779;
block5_conv3;0.9967498101248697;0.0017679091242057692;0.29070193872727323;0.038500462731452946;
block5_pool;0.9761355347684223;0.0035350976126339887;0.30859126063826753;0.027578710190386123;
flatten;0.9761355347684223;0.0035350976126339887;0.30859126063826753;0.027578710190386123;
fc1;0.8359531370468126;0.01730005854284304;-0.09986479316446784;0.48565088589759875;
fc2;0.49651086939169214;0.047516261153811586;-0.30572390311890774;0.02913091684209289;
##############
bdd;BIGTEST
weights;vggplaces
metric;L0
date:;2021-07-06
coeff_scope: ;0.29070193872727323;pvalue:0.038500462731452946
coeff_reglog: ;-0.25485640659855824;pvalue:0.07109811559416564
coeff_slope_inflexion: ;0.15212312092703734;pvalue:0.28657686283174333
