layer;mean_L0;sd_L0;corr_beauty_VS_metric;pvalue;
input_1;0.0;0.0;0.0;1.0;
conv1_1;0.4746543728575415;0.017061916417116976;-0.39610840386940405;0.4369124683686387;
conv1_2;0.14171875415205146;0.035934881291671515;-0.7390996038881865;0.09322390832810068;
pool1;0.10450838050063775;0.010978144292749592;-0.8403020394304477;0.0362187343483416;
conv2_1;0.30663107528167516;0.02223236614729771;-0.7397593578126792;0.0927753640599634;
conv2_2;0.2944593364689626;0.049659728849656345;-0.6629223237658889;0.1512824277545167;
pool2;0.19930511267006804;0.013179607617368135;-0.26618491338432787;0.6101528171667927;
conv3_1;0.4182411245748299;0.019343623206696726;-0.4190986141220326;0.4081580836202502;
conv3_2;0.4837509466677296;0.006038481441429839;0.14173582618708305;0.7888199293738141;
conv3_3;0.7895771467766795;0.017922994592849458;0.6170603538008326;0.19188649321219767;
pool3;0.6344866071428571;0.052087486839734506;0.614066175437971;0.1946759346895409;
conv4_1;0.6931501116071428;0.05257889928535129;-0.6658294448443288;0.14884653364705477;
conv4_2;0.8190108318718112;0.007403608997935782;-0.49999807921936756;0.3125021608809787;
conv4_3;0.9323348480017006;0.003796519996744261;-0.626442514795374;0.18325371611655739;
pool4;0.8549140359268708;0.010541337980099397;0.2653956899837019;0.6112530207858811;
conv5_1;0.8233202460671769;0.013910218552128989;0.25436740172909367;0.6266780357950033;
conv5_2;0.8488603449192177;0.010684887815391817;0.5920247461922004;0.21571323422974986;
conv5_3;0.9401905293367347;0.016786765860765596;-0.7495773234536371;0.08621508243318952;
pool5;0.8872037096088435;0.03494042122652777;-0.7049191216485432;0.11776233910040432;
flatten;0.8872037096088435;0.03494042122652777;-0.7049191216485432;0.11776233910040432;
fc6/relu;0.7406819661458334;0.1142836234562784;0.6403448439022589;0.17076672042128768;
fc7/relu;0.9147542317708334;0.005262160311236629;-0.45490168382605656;0.36471513749866685;
##############
bdd;SMALLTEST
weights;vggface
metric;L0
time:;0.056627404689788816;minutes
date:;2021-06-16
coeff_scope: ;-0.7330887037947438
coeff_reglog: ;0.6605073004863544
