layer;mean_L0;sd_L0;corr_beauty_VS_metric;pvalue;
input_1;0.0;0.0;0.0;1.0;
conv1_1;0.49350914466889945;0.017739669674267614;-0.39610840347067167;0.43691246887289453;
conv1_2;0.14734827096222874;0.037362328346283544;-0.7390996037509124;0.09322390842152907;
pool1;0.10865978366870721;0.011414230882330033;-0.8403020394017076;0.03621873436101139;
conv2_1;0.3188114306908629;0.023115505987007588;-0.7397593582034214;0.09277536379459699;
conv2_2;0.3061561919400241;0.0516323702274456;-0.662922323697555;0.151282427811972;
pool2;0.20722214163894076;0.013703143265178878;-0.26618491322562493;0.61015281738798;
conv3_1;0.4348549839062219;0.02011201303432841;-0.4190986138787075;0.40815808392112995;
conv3_2;0.5029670631469819;0.006278349030691168;0.14173582490283984;0.78881993126148;
conv3_3;0.8209416464684484;0.018634952582327745;0.6170603533960949;0.1918864935881402;
pool3;0.6596904204770642;0.05415656643517999;0.6140661756051151;0.19467593453336415;
conv4_1;0.7206842247105366;0.054667499319496826;-0.6658294449179168;0.14884653358560834;
conv4_2;0.8515445305647993;0.007697703733308363;-0.49999807942864555;0.3125021606455402;
conv4_3;0.969370134775718;0.003947329801961854;-0.6264425132572483;0.18325371751833555;
pool4;0.8888739233678717;0.010960073266538395;0.26539569121346746;0.6112530190711603;
conv5_1;0.8560251283339118;0.014462776400774978;0.25436740150041987;0.6266780361158202;
conv5_2;0.8825797606115348;0.011109325322083433;0.5920247444689478;0.21571323590864594;
conv5_3;0.9775378685992299;0.017453589236983594;-0.7495773234412181;0.08621508244135138;
pool5;0.9224462449403427;0.03632836519625303;-0.704919121556036;0.11776233917021339;
flatten;0.9224462449403427;0.03632836519625303;-0.704919121556036;0.11776233917021339;
fc6/relu;0.7701041947461019;0.11882333017286043;0.6403448437935774;0.1707667205174641;
fc7/relu;0.9510911609199747;0.005471189941118567;-0.45490168332023645;0.364715138100389;
##############
bdd;SMALLTEST
weights;vggface
metric;L0
date:;2021-07-01
coeff_scope: ;-0.7330887050306162
coeff_reglog: ;0.6476458347966846
coeff_reglog: ;-0.6250330895974836
