layer;mean_L1;sd_L1;corr_beauty_VS_metric;pvalue;
input_2;13393865.666666666;3316889.924705652;0.655490430031588;0.15758588894053802;
conv1_1;220310076.0;57621797.76471334;0.7024236361781062;0.11965209315492306;
conv1_2;1073962634.6666667;260960082.21741295;0.6632915682481553;0.15097210222954746;
pool1;286478786.6666667;56171589.44015616;0.6629483930107758;0.15126050938343136;
conv2_1;1364743029.3333333;254016708.96664393;0.6821822239639337;0.13546111713492706;
conv2_2;2566678016.0;139932714.32917482;-0.1522817340314856;0.7733430848358347;
pool2;830033440.0;111516881.70315167;-0.6428286726814874;0.1685746201235035;
conv3_1;1799006165.3333333;231539547.19309402;-0.7694397065784015;0.07360900567762259;
conv3_2;1934429162.6666667;362982299.71745604;-0.8262705861042403;0.042651121176494756;
conv3_3;740712352.0;204449810.67385045;-0.7699889955434843;0.07327322001123887;
pool3;375211333.3333333;124707782.65982245;-0.7154826211646872;0.10990934762667157;
conv4_1;291959386.6666667;32655793.251321092;-0.4343208840506697;0.3894826536261273;
conv4_2;85399997.33333333;8938593.961073445;-0.5197275040704656;0.2906022774533101;
conv4_3;11942008.666666666;1411993.8896576948;0.4297126160270084;0.3951049232729692;
pool4;6977272.916666667;657463.6096187695;0.2082909540084379;0.6920819331631113;
conv5_1;2632611.625;289870.76292878995;0.39568050557541146;0.4374537174975991;
conv5_2;834657.9583333334;90303.72893202787;0.28719133962124427;0.5810565985125008;
conv5_3;121846.802734375;49485.91855311167;0.6356978967735835;0.17489967057393674;
pool5;62955.025065104164;28486.127651217208;0.6080703749274056;0.20031132074161134;
flatten;62955.025065104164;28486.127651217208;0.6080703749274056;0.20031132074161134;
fc6/relu;11057.99072265625;2228.917683846024;-0.1452901255078937;0.7835982923911612;
fc7/relu;1363.2703450520833;344.82478797604745;0.5040581687400041;0.307946945134087;

##############
bdd;SMALLTEST
weights;vggface
metric;L1
time;0.06616771618525187;minutes
