layer;mean_gini_flatten;sd_gini_flatten;corr_beauty_VS_metric;pvalue;
input_1;0.27558515729820715;0.10082320091876742;-0.36042963130534017;0.4827671730822506;
conv1_1;0.7560192087192392;0.014957759055518601;-0.7269934394930964;0.10162493118006076;
conv1_2;0.8007061782507195;0.01506803023633785;0.2432667646432147;0.6422979607618458;
pool1;0.7872523361315987;0.01968678603915362;0.5172928556655587;0.29327240517153136;
conv2_1;0.7141327008358642;0.02996873043318309;-0.746930090586446;0.08796271597348725;
conv2_2;0.7321810808979069;0.008991569696013797;-0.30699213687815846;0.5539779045741785;
pool2;0.6859793630394073;0.029038576468012552;0.47686916449380556;0.33891727869821703;
conv3_1;0.7217357953514631;0.019151446218940195;-0.47480398249872896;0.34131365145134274;
conv3_2;0.7485249706894492;0.012875682026427259;0.48220825878302104;0.33275030245799875;
conv3_3;0.9065978240747322;0.017114901973415423;0.6192984127153711;0.1898123032949445;
pool3;0.8313458755173617;0.040921017687921196;0.6150471898246863;0.19376017737448223;
conv4_1;0.8543446549830515;0.016552080842464983;-0.586601166156469;0.22102325362538475;
conv4_2;0.9091852141843377;0.0032830846347086883;0.17767113684260866;0.7362975700441962;
conv4_3;0.9678471708399135;0.001336232196060961;-0.24077108763275304;0.6458222047989849;
pool4;0.9299245815458276;0.006643153341679162;0.48532271681052513;0.32917192965996755;
conv5_1;0.9124252865767299;0.007341844637991049;0.4749550757200546;0.3411381212968398;
conv5_2;0.924519206238881;0.005617041165847214;0.6125161170286448;0.1961264958642292;
conv5_3;0.9724854469001705;0.006798341314915826;-0.7832569426771374;0.06537530012619967;
pool5;0.9472659061162104;0.015056372214936449;-0.7229777103562969;0.10448249133961438;
flatten;0.9472659061162104;0.015056372214936449;-0.7229777103562969;0.10448249133961438;
fc6/relu;0.8568825673115641;0.0663292151510581;0.6349323689340024;0.17558448265065926;
fc7/relu;0.9548632809751934;0.0038661839638024255;-0.6222024177748077;0.1871348038672858;

##############
bdd;SMALLTEST
weights;vggface
metric;gini_flatten
time;3.3312525312105814;minutes
coeff_scope: ;0.30935133998750314
coeff_scope: ;0.7102176050278443
