layer;mean_kurtosis;sd_kurtosis;corr_beauty_VS_metric;pvalue;
input_1;0.006900329476338768;0.006902285118161605;0.37541838559168544;0.4633279608234943;
conv1_1;0.05557166917540109;0.025227291273494445;-0.5735705024815921;0.23399175337848463;
conv1_2;0.17556444803406998;0.0679222922447265;-0.5508972457758271;0.25724942113443966;
pool1;0.15975476039249398;0.047249337228421034;-0.5416552283221501;0.2669753758748115;
conv2_1;0.07678958054204925;0.02888453675676767;-0.7928026810578708;0.05994852749309688;
conv2_2;0.10192329461446732;0.011871252440766393;-0.4053117790182246;0.425324162370753;
pool2;0.08611830940184384;0.013565103611064645;0.2657835928837808;0.6107122092023726;
conv3_1;0.13440889360472283;0.028676496515607174;0.5107593248322803;0.30048320463306094;
conv3_2;0.12260103678168724;0.03914155139007706;0.714845746399048;0.11037605597312374;
conv3_3;0.3772436997552839;0.1626628935408749;0.8324221932379933;0.03977049507102095;
pool3;0.19859601926824144;0.09367211643978202;0.8172953734549171;0.04702204104791621;
conv4_1;0.16783843821818215;0.03431501895811044;0.7094483583353042;0.11436616265692973;
conv4_2;0.2203587995799418;0.028568669034132802;0.3703039158939684;0.4699330865644126;
conv4_3;0.6650369080458242;0.0752098549568647;-0.4930333007196169;0.320373768800556;
pool4;0.2958990319108141;0.027889555956092233;-0.2669774327896952;0.6090485193286346;
conv5_1;0.24310485078264799;0.04299861691989516;0.750363553237901;0.08569906690397947;
conv5_2;0.2811166853740231;0.06771936827509858;0.5670233445089234;0.24061837270435835;
conv5_3;0.845977201184632;0.10190974477842263;-0.17832454956656463;0.7353485043337029;
pool5;0.43086107771048393;0.07252515185095951;-0.4527001287199916;0.36733740208081317;
flatten;0.43086107771048393;0.07252515185095951;-0.4527001287199916;0.36733740208081317;
fc6/relu;0.08155536739023325;0.039459953090153536;0.5330912710416669;0.27611171224647124;
fc7/relu;0.33402954866670387;0.07515240925690025;-0.2938009067126067;0.5719789361664789;
##############
bdd;SMALLTEST
weights;vggface
metric;kurtosis
date:;2021-07-01
coeff_scope: ;-0.20179715499897855
coeff_reglog: ;-0.17578572447219185
coeff_reglog: ;-0.3307041421162671
